,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Private
Amherst College,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,1
University of Utah,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37,0
Calvin College,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,1
Centenary College,369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24,1
College of Mount St. Joseph,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100,1
Eastern Mennonite College,486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82,1
Grand Valley State University,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,0
Illinois State University,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21.0,16,5569,54,0
Saint Francis College,1046,824,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69,1
Bradford College,443,330,151,5,36,453,42,14080,6270,500,900,57,80,10.2,21,15387,46,1
Drew University,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,1
Green Mountain College,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14.0,24,6475,76,1
Furman University,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82,1
Christian Brothers University,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,1
University of Mississippi,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53,0
Saint Louis University,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67,1
Elmira College,1457,1045,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64,1
Elon College,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63,1
University of Connecticut at Storrs,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16.0,16,10178,71,0
Albright College,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,1
Presbyterian College,1082,832,302,34,63,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85,1
Saint Cloud State University,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58,0
Westminster College,996,866,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80,1
Geneva College,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,1
Oklahoma Baptist University,758,681,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50,1
Washington and Jefferson College,1305,1100,334,42,64,1098,151,16260,4005,300,500,91,91,12.1,40,10162,86,1
Carleton College,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,1
Wilson College,167,130,46,16,50,199,676,11428,5084,450,475,67,76,8.3,43,10291,67,1
Wittenberg University,1979,1739,575,42,68,1980,144,15948,4404,400,800,82,95,12.8,29,10414,78,1
Fresno Pacific College,346,274,146,51,87,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54,1
East Carolina University,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,0
Bethune Cookman College,1646,1150,542,12,30,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58,1
Clarkson University,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,1
Fort Lewis College,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46,0
College Misericordia,1432,888,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96,1
Mary Baldwin College,499,441,199,26,52,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90,1
Rhodes College,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77,1
Point Loma Nazarene College,809,687,428,20,43,1889,217,10178,4190,800,750,71,71,16.1,19,7895,54,1
Linfield College,1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,1
University of North Carolina at Greensboro,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53,0
Pfeiffer College,838,651,159,11,25,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48,1
University of Texas at Arlington,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21.0,4,4696,29,0
Drury College,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67,1
National-Louis University,513,347,279,23,48,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71,1
Bradley University,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,1
Saint Vincent College,700,595,278,19,35,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88,1
College of Saint Catherine,511,411,186,23,51,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77,1
Birmingham-Southern College,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14.0,34,8649,72,1
Widener University,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88,86,12.6,19,9603,63,1
D'Youville College,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46,1
Earlham College,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,1
Saint Mary-of-the-Woods College,150,130,88,23,50,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75,1
Keene State College,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,0
Marshall University,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50,1
Houghton College,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15.0,24,8187,67,1
Husson College,723,652,361,10,30,951,706,7800,4000,350,1500,36,44,22.0,4,4923,84,1
Ripon College,587,501,211,28,52,735,28,15200,4100,350,650,87,90,9.4,49,12472,64,1
Schreiner College,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52,1
Voorhees College,1465,1006,188,10,30,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58,1
Louisiana College,2013,1053,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59,1
University of San Francisco,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62,1
SUNY College at Plattsburgh,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65,0
Huntington College,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47,1
Hastings College,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13.0,17,7335,52,1
Abilene Christian University,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,1
Hope College,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,1
Loyola College,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80,1
Barry University,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,1
Central Washington University,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51,0
Mount Marty College,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44,1
Augustana College,761,725,306,21,58,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,1
Ithaca College,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,1
East Texas Baptist University,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38,1
Greenville College,510,387,194,20,46,771,53,10310,4530,400,800,57,61,14.3,16,8222,60,1
Westmont College,950,713,351,42,72,1276,9,14320,5304,490,1410,77,77,14.9,17,8837,87,0
University of Maine at Machias,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64,0
University of Vermont,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79,0
Bluefield College,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53,1
Virginia Wesleyan College,1470,900,287,20,49,1130,417,10900,5100,500,550,70,81,15.7,14,7804,68,1
